Elvis Presley	http://streaming.exclusive.radio/er/elvispresley/icecast.audio	0
Eminem	http://streaming.exclusive.radio/er/eminem/icecast.audio	0
Engelbert Humperdinck	http://streaming.exclusive.radio/er/engelberthumperdinck/icecast.audio	0
Enrique Iglesias	http://streaming.exclusive.radio/er/enriqueiglesias/icecast.audio	0
Erasure	http://streaming.exclusive.radio/er/erasure/icecast.audio	0
Eric Clapton	http://streaming.exclusive.radio/er/ericclapton/icecast.audio	0
Etta James	http://streaming.exclusive.radio/er/ettajames/icecast.audio	0
Eurythmics	http://streaming.exclusive.radio/er/eurythmics/icecast.audio	0
Eva Cassidy	http://streaming.exclusive.radio/er/evacassidy/icecast.audio	0
The Everly Brothers	http://streaming.exclusive.radio/er/everlybrothers/icecast.audio	0
Fats Domino	http://streaming.exclusive.radio/er/fatsdomino/icecast.audio	0
Fleetwood Mac	http://streaming.exclusive.radio/er/fleetwoodmac/icecast.audio	0
Florida Georgia Line	http://streaming.exclusive.radio/er/floridageorgialine/icecast.audio	0
Foo Fighters	http://streaming.exclusive.radio/er/foofighters/icecast.audio	0
Foreigner	http://streaming.exclusive.radio/er/foreigner/icecast.audio	0
The Four Tops	http://streaming.exclusive.radio/er/fourtops/icecast.audio	0
Frank Sinatra	http://streaming.exclusive.radio/er/franksinatra/icecast.audio	0
Garth Brooks	http://streaming.exclusive.radio/er/garthbrooks/icecast.audio	0
Genesis	http://streaming.exclusive.radio/er/genesis/icecast.audio	0
George Benson	http://streaming.exclusive.radio/er/georgebenson/icecast.audio	0
George Ezra	http://streaming.exclusive.radio/er/georgeezra/icecast.audio	0
George Harrison	http://streaming.exclusive.radio/er/georgeharrison/icecast.audio	0
George Jones	http://streaming.exclusive.radio/er/georgejones/icecast.audio	0
George Michael	http://streaming.exclusive.radio/er/georgemichael/icecast.audio	0
George Strait	http://streaming.exclusive.radio/er/georgestrait/icecast.audio	0
Glen Campbell	http://streaming.exclusive.radio/er/glencampbell/icecast.audio	0
Glenn Miller	http://streaming.exclusive.radio/er/glennmiller/icecast.audio	0
Gloria Estefan	http://streaming.exclusive.radio/er/gloriaestefan/icecast.audio	0
Grateful Dead	http://streaming.exclusive.radio/er/gratefuldead/icecast.audio	0
Green Day	http://streaming.exclusive.radio/er/greenday/icecast.audio	0
Gregory Porter	http://streaming.exclusive.radio/er/gregoryporter/icecast.audio	0
Guns N' Roses	http://streaming.exclusive.radio/er/gunsnroses/icecast.audio	0
Hank Williams	http://streaming.exclusive.radio/er/hankwilliams/icecast.audio	0
Harry Styles	http://streaming.exclusive.radio/er/harrystyles/icecast.audio	0
Herbie Hancock	http://streaming.exclusive.radio/er/herbiehancock/icecast.audio	0
Hollywood & Broadway Musicals	http://streaming.exclusive.radio/er/hollywoodandbroadway/icecast.audio	0
Howlin Wolf	http://streaming.exclusive.radio/er/howlinwolf/icecast.audio	0
The Human League	http://streaming.exclusive.radio/er/humanleague/icecast.audio	0
Huey Lewis & The News	http://streaming.exclusive.radio/er/hueylewis/icecast.audio	0
Imagine Dragons	http://streaming.exclusive.radio/er/imaginedragons/icecast.audio	0
INXS	http://streaming.exclusive.radio/er/INXS/icecast.audio	0
